,timestamp,altitude,callsign,geoaltitude,groundspeed,icao24,lastseen,latitude,longitude,onground,origin,track,vertical_rate,distance,flight_id,runway,initial_bearing,initial_flow,simple,track_unwrapped,x,y,timedelta,cluster,navpoints
69043,2019-10-04 10:09:10+00:00,10850.0,AFL2390,11025.000000000004,256.84603561863327,4242b4,2019-10-04 10:25:57+00:00,47.92008222159693,8.585040752704327,False,UUEE,202.6713436219808,-1088.0,27.37607516319434,AFL2390_345,14,189.45382929122846,162-216,True,202.6713436219808,468996.6939728655,5307604.595730289,174.0,15,"ZH109,ZH305,IKL"
69044,2019-10-04 10:09:14+00:00,10774.999999999998,AFL2390,10950.0,257.7690539849076,4242b4,2019-10-04 10:25:57+00:00,47.91581726074219,8.582382202148438,False,UUEE,202.5856687243998,-1023.9999999999998,27.11482282395239,AFL2390_345,14,189.45382929122846,162-216,True,202.5856687243998,468795.4986770471,5307131.625997438,178.0,15,"ZH109,ZH305,IKL"
69045,2019-10-04 10:09:18+00:00,10700.0,AFL2390,10874.999999999998,257.7690539849076,4242b4,2019-10-04 10:25:57+00:00,47.91142350536282,8.579618013822115,False,UUEE,202.5856687243998,-1023.9999999999998,26.845980764098584,AFL2390_345,14,189.45382929122846,162-216,True,202.5856687243998,468586.2990519681,5306644.391260621,182.0,15,"ZH109,ZH305,IKL"
69046,2019-10-04 10:09:22+00:00,10650.0,AFL2390,10825.0,257.7690539849076,4242b4,2019-10-04 10:25:57+00:00,47.90709414724576,8.576941856971152,False,UUEE,202.5856687243998,-1023.9999999999998,26.58152280644728,AFL2390_345,14,189.45382929122846,162-216,True,202.5856687243998,468383.6827029107,5306164.28587615,186.0,15,"ZH109,ZH305,IKL"
69047,2019-10-04 10:09:26+00:00,10575.0,AFL2390,10750.0,259.0769847443808,4242b4,2019-10-04 10:25:57+00:00,47.90281134136652,8.574265700120193,False,UUEE,202.7049239406493,-1023.9999999999998,26.320213840338457,AFL2390_345,14,189.45382929122846,162-216,True,202.7049239406493,468181.06171266496,5305689.3619843945,190.0,15,"ZH109,ZH305,IKL"
69048,2019-10-04 10:09:30+00:00,10500.0,AFL2390,10650.0,259.464609681051,4242b4,2019-10-04 10:25:57+00:00,47.89801646087129,8.571307842548077,False,UUEE,202.9086345906371,-1023.9999999999998,26.02815199331278,AFL2390_345,14,189.45382929122846,162-216,True,202.9086345906371,467957.03622876306,5305157.646518702,194.0,15,"ZH109,ZH305,IKL"
69049,2019-10-04 10:09:34+00:00,10425.0,AFL2390,10600.0,260.77554045297063,4242b4,2019-10-04 10:25:57+00:00,47.893826759467686,8.568631685697115,False,UUEE,203.02549200852798,-1023.9999999999998,25.773217412464128,AFL2390_345,14,189.45382929122846,162-216,True,203.02549200852798,467754.4037361495,5304693.086355844,198.0,15,"ZH109,ZH305,IKL"
69050,2019-10-04 10:09:38+00:00,10349.999999999998,AFL2390,10525.0,260.77554045297063,4242b4,2019-10-04 10:25:57+00:00,47.88917541503906,8.565696716308594,False,UUEE,203.02549200852798,-1088.0,25.490692682101354,AFL2390_345,14,189.45382929122846,162-216,True,203.02549200852798,467532.10236291226,5304177.331943298,202.0,15,"ZH109,ZH305,IKL"
69051,2019-10-04 10:09:42+00:00,10300.0,AFL2390,10475.0,261.6961628825263,4242b4,2019-10-04 10:25:57+00:00,47.88459777832031,8.562812805175781,False,UUEE,202.939855686529,-1088.0,25.213125870873053,AFL2390_345,14,189.45382929122846,162-216,True,202.939855686529,467313.6256682035,5303669.757118361,206.0,15,"ZH109,ZH305,IKL"
69052,2019-10-04 10:09:46+00:00,10225.0,AFL2390,10375.0,261.6961628825263,4242b4,2019-10-04 10:25:57+00:00,47.88070678710938,8.560340881347656,False,UUEE,202.939855686529,-960.0,24.977561493657767,AFL2390_345,14,189.45382929122846,162-216,True,202.939855686529,467126.35054780205,5303238.333964342,210.0,15,"ZH109,ZH305,IKL"
69053,2019-10-04 10:09:50+00:00,10175.0,AFL2390,10349.999999999998,260.386026601457,4242b4,2019-10-04 10:25:57+00:00,47.87557983398438,8.557113647460938,False,UUEE,202.8229805976548,-703.9999999999999,24.667751327157465,AFL2390_345,14,189.45382929122846,162-216,True,202.8229805976548,466881.78107268596,5302669.867223882,214.0,15,"ZH109,ZH305,IKL"
69054,2019-10-04 10:09:54+00:00,10125.0,AFL2390,10249.999999999998,259.0769847443808,4242b4,2019-10-04 10:25:57+00:00,47.87127685546875,8.554435729980469,False,UUEE,202.7049239406493,-703.9999999999999,24.408245273784896,AFL2390_345,14,189.45382929122846,162-216,True,202.7049239406493,466678.7732898513,5302192.756201289,218.0,15,"ZH109,ZH305,IKL"
